"ISO","confirmation_lens","admin_level","threshold","n_total_targets_lb","n_total_targets_median","n_total_targets_ub","n_unique_targets_lb","n_unique_targets_median","n_unique_targets_ub"
"SSD","global-estimate","admin1",1e-04,3,12,17,1,5,6
"SSD","global-estimate","admin1",2e-04,3,5,12,1,2,5
"SSD","global-estimate","admin1",0.001,1,3,3,1,1,1
"SSD","global-estimate","admin2",1e-04,15,29,34,5,10,12
"SSD","global-estimate","admin2",2e-04,6,22,29,2,8,10
"SSD","global-estimate","admin2",0.001,2,6,11,1,2,5
"SSD","no-estimate","admin1",1e-04,16,18,20,6,6,7
"SSD","no-estimate","admin1",2e-04,8,11,15,3,4,5
"SSD","no-estimate","admin1",0.001,2,3,5,1,1,2
"SSD","no-estimate","admin2",1e-04,31,35,38,11,12,13
"SSD","no-estimate","admin2",2e-04,26,29,32,9,10,11
"SSD","no-estimate","admin2",0.001,6,8,17,2,3,6
"TCD","district-estimate","admin1",1e-04,19,26,30,7,9,11
"TCD","district-estimate","admin1",2e-04,12,18,24,4,7,9
"TCD","district-estimate","admin1",0.001,2,3,8,1,2,3
"TCD","district-estimate","admin2",1e-04,42,51,59,14,17,20
"TCD","district-estimate","admin2",2e-04,25,34,43,9,12,15
"TCD","district-estimate","admin2",0.001,3,8,15,1,3,5
"TCD","global-estimate","admin1",1e-04,21,26,32,8,9,11
"TCD","global-estimate","admin1",2e-04,10,19,24,4,7,9
"TCD","global-estimate","admin1",0.001,3,3,8,1,1,3
"TCD","global-estimate","admin2",1e-04,34,56,65,12,19,21
"TCD","global-estimate","admin2",2e-04,23,37,50,8,13,17
"TCD","global-estimate","admin2",0.001,3,8,17,1,3,7
"TCD","no-estimate","admin1",1e-04,27,30,35,9,10,12
"TCD","no-estimate","admin1",2e-04,24,26,30,9,9,11
"TCD","no-estimate","admin1",0.001,6,10,15,2,4,5
"TCD","no-estimate","admin2",1e-04,65,68,71,21,22,23
"TCD","no-estimate","admin2",2e-04,52,58,63,17,19,21
"TCD","no-estimate","admin2",0.001,15,19,27,6,7,10
"TGO","district-estimate","admin2",1e-04,1,2,3,1,1,1
"TGO","global-estimate","admin2",1e-04,1,2,3,1,1,1
"TGO","no-estimate","admin2",1e-04,2,3,5,1,1,2
"TGO","no-estimate","admin2",2e-04,1,1,3,1,1,1
"TZA","district-estimate","admin1",1e-04,15,20,27,6,8,11
"TZA","district-estimate","admin1",2e-04,1,4,8,1,2,4
"TZA","district-estimate","admin2",1e-04,94,112,126,33,39,45
"TZA","district-estimate","admin2",2e-04,46,58,74,17,21,27
"TZA","district-estimate","admin2",0.001,2,8,14,1,4,6
"TZA","global-estimate","admin1",1e-04,15,23,30,7,10,12
