"ISO","confirmation_lens","admin_level","threshold","n_total_targets_lb","n_total_targets_median","n_total_targets_ub","n_unique_targets_lb","n_unique_targets_median","n_unique_targets_ub"
"SOM","global-estimate","admin2",2e-04,49,66,83,19,25,31
"SOM","global-estimate","admin2",0.001,14,22,32,7,10,14
"SOM","no-estimate","admin1",1e-04,38,39,42,13,13,14
"SOM","no-estimate","admin1",2e-04,35,37,39,12,13,14
"SOM","no-estimate","admin1",0.001,14,17,24,6,8,9
"SOM","no-estimate","admin2",1e-04,103,107,116,36,37,40
"SOM","no-estimate","admin2",2e-04,89,95,103,31,34,37
"SOM","no-estimate","admin2",0.001,41,48,65,17,19,27
"SSD","district-estimate","admin1",1e-04,6,10,15,3,5,6
"SSD","district-estimate","admin1",2e-04,3,5,8,1,2,4
"SSD","district-estimate","admin1",0.001,1,2,3,1,1,1
"SSD","district-estimate","admin2",1e-04,22,27,32,8,10,12
"SSD","district-estimate","admin2",2e-04,14,19,27,6,8,10
"SSD","district-estimate","admin2",0.001,2,5,7,1,2,3
"SSD","global-estimate","admin1",1e-04,5,8,13,2,3,6
"SSD","global-estimate","admin1",2e-04,2,5,8,1,2,3
"SSD","global-estimate","admin1",0.001,1,2,2,1,1,1
"SSD","global-estimate","admin2",1e-04,17,25,30,7,10,11
"SSD","global-estimate","admin2",2e-04,7,16,24,3,6,10
"SSD","global-estimate","admin2",0.001,1,4,6,1,2,3
"SSD","no-estimate","admin1",1e-04,14,15,19,6,6,7
"SSD","no-estimate","admin1",2e-04,7,10,13,3,4,5
"SSD","no-estimate","admin1",0.001,2,3,5,1,1,2
"SSD","no-estimate","admin2",1e-04,30,33,36,11,12,13
"SSD","no-estimate","admin2",2e-04,23,26,30,9,10,11
"SSD","no-estimate","admin2",0.001,6,8,12,2,3,6
"TCD","district-estimate","admin1",1e-04,21,25,28,8,9,11
"TCD","district-estimate","admin1",2e-04,13,17,21,5,7,9
"TCD","district-estimate","admin1",0.001,2,3,6,1,1,3
"TCD","district-estimate","admin2",1e-04,43,50,56,16,19,21
"TCD","district-estimate","admin2",2e-04,28,34,40,11,13,16
"TCD","district-estimate","admin2",0.001,4,7,12,2,3,5
"TCD","global-estimate","admin1",1e-04,18,23,27,7,9,10
"TCD","global-estimate","admin1",2e-04,9,15,20,4,6,8
"TCD","global-estimate","admin1",0.001,2,3,5,1,1,2
"TCD","global-estimate","admin2",1e-04,33,47,54,13,17,21
"TCD","global-estimate","admin2",2e-04,15,26,37,6,11,15
"TCD","global-estimate","admin2",0.001,3,5,8,1,2,4
"TCD","no-estimate","admin1",1e-04,26,30,34,9,10,12
"TCD","no-estimate","admin1",2e-04,22,25,28,8,9,11
"TCD","no-estimate","admin1",0.001,5,8,12,2,4,5
"TCD","no-estimate","admin2",1e-04,60,64,68,21,22,23
"TCD","no-estimate","admin2",2e-04,46,51,56,17,19,21
"TCD","no-estimate","admin2",0.001,12,15,22,6,7,10
"TGO","district-estimate","admin2",1e-04,2,2,2,1,1,1
"TGO","global-estimate","admin2",1e-04,1,1,1,1,1,1
"TGO","no-estimate","admin2",1e-04,1,2,3,1,1,2
"TGO","no-estimate","admin2",2e-04,1,2,2,1,1,1
"TZA","district-estimate","admin1",1e-04,13,17,21,7,9,11
"TZA","district-estimate","admin1",2e-04,1,3,6,1,2,4
"TZA","district-estimate","admin2",1e-04,93,105,118,37,43,48
"TZA","district-estimate","admin2",2e-04,43,52,60,18,23,27
"TZA","district-estimate","admin2",0.001,2,6,11,1,3,4
"TZA","global-estimate","admin1",1e-04,7,12,17,4,7,9
"TZA","global-estimate","admin1",2e-04,1,2,4,1,1,2
"TZA","global-estimate","admin2",1e-04,71,85,98,29,35,41
"TZA","global-estimate","admin2",2e-04,23,37,50,10,16,21
"TZA","global-estimate","admin2",0.001,2,4,9,1,2,4
"TZA","no-estimate","admin1",1e-04,32,35,39,13,15,17
"TZA","no-estimate","admin1",2e-04,15,18,21,8,9,11
"TZA","no-estimate","admin2",1e-04,163,173,182,62,66,71
"TZA","no-estimate","admin2",2e-04,94,104,113,38,43,48
"TZA","no-estimate","admin2",0.001,9,15,20,4,7,10
"UGA","district-estimate","admin1",1e-04,8,11,15,3,5,6
"UGA","district-estimate","admin1",2e-04,3,5,8,1,2,4
"UGA","district-estimate","admin1",0.001,1,1,1,1,1,1
"UGA","district-estimate","admin2",1e-04,15,20,29,6,8,12
"UGA","district-estimate","admin2",2e-04,5,10,16,2,4,7
"UGA","district-estimate","admin2",0.001,1,2,5,1,1,2
"UGA","global-estimate","admin1",1e-04,8,10,14,4,4,5
"UGA","global-estimate","admin1",2e-04,2,4,7,1,2,4
"UGA","global-estimate","admin2",1e-04,14,19,27,7,8,11
"UGA","global-estimate","admin2",2e-04,3,8,13,2,3,6
"UGA","global-estimate","admin2",0.001,1,2,3,1,1,2
"UGA","no-estimate","admin1",1e-04,17,20,23,7,8,9
