"ISO","threshold","confirmation_lens","admin_level","NAME","mean_observed_ir","mean_clinical_ir","eff"
"TCD",2e-04,"district-estimate","admin2","N'Djamena",0.00511253768644793,0.00995091927651258,32.5583157356459
"TCD",2e-04,"district-estimate","admin2","Ngourkosso",0.00025848430477211,0.000510774544979919,3.02951692644353
"TCD",2e-04,"district-estimate","admin2","Tandjilé Est",0.00065507371452018,0.00129604127415627,2.2695323003551
"TCD",2e-04,"district-estimate","admin2","Tandjilé Ouest",0.000174693782761903,0.000327804352398894,2.37305146452409
"TCD",2e-04,"district-estimate","admin2","Wayi",0.000220408129468882,0.000401419908328217,0.99315574935405
"TCD",0.001,"district-estimate","admin2","Aboudeïa",0.000106608929324607,0.000202906188251172,4.86505570499878
"TCD",0.001,"district-estimate","admin2","Barh Signaka",0.000552014950559506,0.00104021942664732,3.89223940537924
"TCD",0.001,"district-estimate","admin2","Bitkine",0.000344904572688177,0.000674184664472136,3.51018676963605
"TCD",0.001,"district-estimate","admin2","Dagana",0.0013544180685491,0.00270384350330744,6.75498964021557
"TCD",0.001,"district-estimate","admin2","Haraze Al Biar",0.000489145025713552,0.000939361152623771,4.29248689460883
"TCD",0.001,"district-estimate","admin2","Kabbia",0.000659809755499465,0.00126402840052139,4.00140432633081
"TCD",0.001,"district-estimate","admin2","Lac Léré",0.000851125336989314,0.00161360171645999,4.18377253131374
"TCD",0.001,"district-estimate","admin2","Mamdi",0.000599841279288403,0.0011576544424971,6.37231105620741
"TCD",0.001,"district-estimate","admin2","Mayo-Boneye",0.00123612613338447,0.00245970973316199,6.19338182404528
"TCD",0.001,"district-estimate","admin2","Mayo-Dallah",0.00037167218405483,0.000705042810048764,3.92915338758348
"TCD",0.001,"district-estimate","admin2","Mont Illi",0.000525355256621245,0.000997553802641735,3.77124341776117
"TCD",0.001,"district-estimate","admin2","N'Djamena",0.00511253768644793,0.00995091927651258,38.2783600565766
"TCD",0.001,"district-estimate","admin2","Ngourkosso",0.00025848430477211,0.000510774544979919,3.87776298069344
"TCD",0.001,"district-estimate","admin2","Tandjilé Est",0.00065507371452018,0.00129604127415627,3.93121885582561
"TCD",0.001,"district-estimate","admin2","Wayi",0.000220408129468882,0.000401419908328217,4.88784804452664
"TCD",1e-04,"global-estimate","admin1","Batha",5.58138892493136e-05,0.000134698157873203,0.487190427319035
"TCD",1e-04,"global-estimate","admin1","Chari-Baguirmi",0.00324789369748689,0.00785683490229825,15.2989835394656
"TCD",1e-04,"global-estimate","admin1","Guéra",0.000242130049416013,0.000588340116248052,1.10925933212057
"TCD",1e-04,"global-estimate","admin1","Hadjer-Lamis",0.0005032957378665,0.00121866235023955,2.37615762742827
"TCD",1e-04,"global-estimate","admin1","Kanem",4.8477994647655e-05,0.000116805493590898,0.35332106691394
"TCD",1e-04,"global-estimate","admin1","Lac",0.000334822583685605,0.000819986135491706,1.28914029242893
"TCD",1e-04,"global-estimate","admin1","Logone Occidental",4.52699093973574e-05,0.000112621477003344,0.691051189686442
"TCD",1e-04,"global-estimate","admin1","Mayo-Kebbi Est",0.000702543402344389,0.00171357220237779,3.21083881612386
"TCD",1e-04,"global-estimate","admin1","Mayo-Kebbi Ouest",0.000451355807428299,0.00109504171908884,2.18273557074893
"TCD",1e-04,"global-estimate","admin1","Salamat",0.000107335617272058,0.000261577701044053,0.459160726939668
"TCD",1e-04,"global-estimate","admin1","Tandjilé",0.000299189736514046,0.00073351166375903,1.09001649411177
"TCD",1e-04,"global-estimate","admin1","Ville de N'Djamena",0.000140514472344644,0.0003523497777241,0.688446212404079
"TCD",2e-04,"global-estimate","admin1","Chari-Baguirmi",0.00296934127244286,0.00772038768336606,16.8400209965367
"TCD",2e-04,"global-estimate","admin1","Guéra",0.000225968466039551,0.000586789132690395,1.47225580729217
"TCD",2e-04,"global-estimate","admin1","Hadjer-Lamis",0.000466724508964536,0.00121302115115471,2.28111115625935
"TCD",2e-04,"global-estimate","admin1","Lac",0.000314222898926881,0.000825127773579706,1.94994642359296
"TCD",2e-04,"global-estimate","admin1","Mayo-Kebbi Est",0.000664911999768895,0.00172960649583534,3.35326576656961
"TCD",2e-04,"global-estimate","admin1","Mayo-Kebbi Ouest",0.000425095792779425,0.0011095024647175,2.43908941306026
"TCD",2e-04,"global-estimate","admin1","Salamat",0.0001018928340908,0.000265889994567006,1.19374328587616
"TCD",2e-04,"global-estimate","admin1","Tandjilé",0.000298886537512576,0.000789695135909304,1.9654609920548
"TCD",2e-04,"global-estimate","admin1","Ville de N'Djamena",0.00014640479017965,0.000383548380025027,0.318354875511665
"TCD",0.001,"global-estimate","admin1","Chari-Baguirmi",0.0032466898901981,0.00785377303973559,15.2440333721447
"TCD",0.001,"global-estimate","admin1","Lac",0.000335985673589502,0.000822837990691709,3.78286645572581
"TCD",0.001,"global-estimate","admin1","Mayo-Kebbi Est",0.000705930032253962,0.00172175946728505,3.40098461653609
"TCD",1e-04,"global-estimate","admin2","Aboudeïa",8.20041409343992e-05,0.000202906188251172,0.551415149359384
"TCD",1e-04,"global-estimate","admin2","Baguirmi",6.97577247098741e-05,0.000167723291027211,0.706813425291727
"TCD",1e-04,"global-estimate","admin2","Barh Azoum",0.000147411886037429,0.000358099200632185,0.642579863097693
"TCD",1e-04,"global-estimate","admin2","Barh Signaka",0.000426986765597657,0.00104021942664732,1.94848667561834
"TCD",1e-04,"global-estimate","admin2","Batha Oues",0.000133267914781273,0.000321561248021441,0.70010137901696
"TCD",1e-04,"global-estimate","admin2","Bitkine",0.000278516862395139,0.000674184664472136,1.13623353752826
"TCD",1e-04,"global-estimate","admin2","Béré",0.000156850031951468,0.00038426536627016,0.76004986356138
"TCD",1e-04,"global-estimate","admin2","Dababa",8.3713136340201e-05,0.000202636699641467,0.645625068977968
"TCD",1e-04,"global-estimate","admin2","Dagana",0.0011200629658761,0.00270384350251166,6.02327339855467
"TCD",1e-04,"global-estimate","admin2","Djourf Al Ahmar",6.07349580220828e-05,0.000144974307265502,0.943480657143229
"TCD",1e-04,"global-estimate","admin2","Haraze Al Biar",0.000380354154234436,0.000927772691507142,1.77452091477403
"TCD",1e-04,"global-estimate","admin2","Kabbia",0.000521943736809372,0.0012640283973039,2.24415747998146
"TCD",1e-04,"global-estimate","admin2","Kanem",6.64445941009918e-05,0.000160036135616209,0.465873654529834
"TCD",1e-04,"global-estimate","admin2","Lac Léré",0.000659569404745063,0.00159785051199084,3.08167175904364
"TCD",1e-04,"global-estimate","admin2","Loug Chari",4.50466028768533e-05,0.000109521163775282,0.528403837053374
"TCD",1e-04,"global-estimate","admin2","Mamdi",0.00046994666884356,0.00116051109696304,1.65473217097851
"TCD",1e-04,"global-estimate","admin2","Mangalmé",0.000111797278761478,0.000271381377703202,0.487074827763472
"TCD",1e-04,"global-estimate","admin2","Mayo-Boneye",0.00101256322089612,0.0024725714226985,4.22796094271368
"TCD",1e-04,"global-estimate","admin2","Mayo-Dallah",0.000290619989698359,0.000708554106170569,1.17883818537578
"TCD",1e-04,"global-estimate","admin2","Mont Illi",0.000401141301525365,0.000971489333416872,1.55673812760929
"TCD",1e-04,"global-estimate","admin2","N'Djamena",0.0040968841150317,0.00993944888967273,13.8436360584556
"TCD",1e-04,"global-estimate","admin2","Ngourkosso",0.000204915140571188,0.000510774546298177,2.92763309671641
"TCD",1e-04,"global-estimate","admin2","Tandjilé Est",0.000531209396663307,0.00129604126676607,2.27767132853156
"TCD",1e-04,"global-estimate","admin2","Tandjilé Ouest",0.000131497187937672,0.000327804352243275,2.34800990355191
