"ISO","threshold","confirmation_lens","admin_level","ocv_cost_lb","ocv_cost_median","ocv_cost_ub"
"KEN",2e-04,"no-estimate","admin2",48993890.6499078,55792128.8690463,62312634.7181686
"KEN",0.001,"district-estimate","admin2",4820239.79024885,9030205.88843867,13469668.4028081
"KEN",0.001,"global-estimate","admin2",3021967.57525022,7882689.459836,11334785.7286362
"KEN",0.001,"no-estimate","admin2",14924140.623736,17728092.2362461,22796504.7687638
"LBR",1e-04,"district-estimate","admin1",2750609.21683791,4298983.60643273,7847547.01860115
"LBR",1e-04,"global-estimate","admin1",2569364.49642975,4298983.60643273,7847547.01860115
"LBR",1e-04,"no-estimate","admin1",2750609.21683791,6462908.19276208,14808139.3401406
"LBR",2e-04,"district-estimate","admin1",1823889.90337276,2830523.72813645,5685043.65002672
"LBR",2e-04,"global-estimate","admin1",0,2830523.72813645,4691765.38186137
"LBR",2e-04,"no-estimate","admin1",2750609.21683791,4298983.60643273,7847547.01860115
"LBR",0.001,"district-estimate","admin1",0,0,1940297.07401795
"LBR",0.001,"global-estimate","admin1",0,0,0
"LBR",0.001,"no-estimate","admin1",0,624580.64785576,2878871.02463691
"LBR",1e-04,"district-estimate","admin2",1540877.17201856,3048683.51260469,7350578.83158349
"LBR",1e-04,"global-estimate","admin2",1365660.34110258,2493495.8267726,5843418.44452954
"LBR",1e-04,"no-estimate","admin2",1618710.24845555,3891908.28757828,10452517.346531
"LBR",2e-04,"district-estimate","admin2",1166147.07635071,2012921.58556945,3990081.99929822
"LBR",2e-04,"global-estimate","admin2",489506.898037821,1767628.7605983,3725493.51433205
"LBR",2e-04,"no-estimate","admin2",1546793.28347776,2946888.7979391,6274944.75093707
"LBR",0.001,"district-estimate","admin2",0,575897.61292754,1363510.26318639
"LBR",0.001,"global-estimate","admin2",0,134027.990530922,1207467.30824956
"LBR",0.001,"no-estimate","admin2",157608.828939289,1320216.55692983,2550630.17015616
"MDG",1e-04,"district-estimate","admin1",0,0,0
"MDG",1e-04,"global-estimate","admin1",0,0,0
"MDG",1e-04,"no-estimate","admin1",0,0,0
"MDG",2e-04,"district-estimate","admin1",0,0,0
"MDG",2e-04,"global-estimate","admin1",0,0,0
"MDG",2e-04,"no-estimate","admin1",0,0,0
"MDG",0.001,"district-estimate","admin1",0,0,0
"MDG",0.001,"global-estimate","admin1",0,0,0
"MDG",0.001,"no-estimate","admin1",0,0,0
"MDG",1e-04,"district-estimate","admin2",0,0,0
"MDG",1e-04,"global-estimate","admin2",0,0,0
"MDG",1e-04,"no-estimate","admin2",0,0,8710446.11008465
"MDG",2e-04,"district-estimate","admin2",0,0,0
"MDG",2e-04,"global-estimate","admin2",0,0,0
"MDG",2e-04,"no-estimate","admin2",0,0,0
"MDG",0.001,"district-estimate","admin2",0,0,0
"MDG",0.001,"global-estimate","admin2",0,0,0
"MDG",0.001,"no-estimate","admin2",0,0,0
"MLI",1e-04,"district-estimate","admin1",0,2605500.51740631,12598713.8414449
"MLI",1e-04,"global-estimate","admin1",0,0,6997923.21140839
"MLI",1e-04,"no-estimate","admin1",11853239.9485338,11853239.9485338,24476743.1283778
"MLI",2e-04,"district-estimate","admin1",0,0,0
"MLI",2e-04,"global-estimate","admin1",0,0,3145927.72126117
"MLI",2e-04,"no-estimate","admin1",0,0,9603423.72881472
"MLI",0.001,"district-estimate","admin1",0,0,0
"MLI",0.001,"global-estimate","admin1",0,0,0
"MLI",0.001,"no-estimate","admin1",0,0,0
"MLI",1e-04,"district-estimate","admin2",4616025.68898601,9388909.27056343,13824676.0329433
"MLI",1e-04,"global-estimate","admin2",2015774.17783229,5663246.86660919,10259307.3799515
"MLI",1e-04,"no-estimate","admin2",17888351.1503885,20538418.1405406,23019083.7780767
"MLI",2e-04,"district-estimate","admin2",0,1330058.749843,4017235.70336629
"MLI",2e-04,"global-estimate","admin2",0,904788.822145493,3358252.89692356
"MLI",2e-04,"no-estimate","admin2",5958238.81864065,8838162.84836321,11796669.4319852
"MLI",0.001,"district-estimate","admin2",0,0,0
"MLI",0.001,"global-estimate","admin2",0,0,0
"MLI",0.001,"no-estimate","admin2",0,0,0
"MOZ",1e-04,"district-estimate","admin1",14195666.251766,30797681.0304278,107780828.21811
"MOZ",1e-04,"global-estimate","admin1",0,23023045.8604177,69137679.6780142
"MOZ",1e-04,"no-estimate","admin1",80431192.3837888,121475926.392722,166090124.13314
"MOZ",2e-04,"district-estimate","admin1",0,0,29672752.7950063
"MOZ",2e-04,"global-estimate","admin1",0,0,15869505.3726276
"MOZ",2e-04,"no-estimate","admin1",23023045.8604177,31445615.9846972,83660076.8090889
"MOZ",0.001,"district-estimate","admin1",0,0,0
"MOZ",0.001,"global-estimate","admin1",0,0,0
"MOZ",0.001,"no-estimate","admin1",0,0,0
"MOZ",1e-04,"district-estimate","admin2",18824384.7856122,27141752.8783793,40440485.3328967
"MOZ",1e-04,"global-estimate","admin2",16402965.8468237,24585069.4134263,33430975.2219786
"MOZ",1e-04,"no-estimate","admin2",28868156.3069228,38680129.086144,52726899.6511122
"MOZ",2e-04,"district-estimate","admin2",12664474.6018756,20335459.1013405,27221262.8843848
"MOZ",2e-04,"global-estimate","admin2",7023283.17190477,14535241.2389155,23131493.9644956
"MOZ",2e-04,"no-estimate","admin2",19781045.8273655,27379905.9871692,38931124.2481378
"MOZ",0.001,"district-estimate","admin2",0,2037630.44278357,6016111.49476502
"MOZ",0.001,"global-estimate","admin2",0,2022561.33491133,5020417.01566254
"MOZ",0.001,"no-estimate","admin2",6789757.78965005,9563660.34506838,16496578.5642838
"MRT",1e-04,"district-estimate","admin1",0,0,0
"MRT",1e-04,"global-estimate","admin1",0,0,0
"MRT",1e-04,"no-estimate","admin1",0,1327397.9069825,2909281.77960356
"MRT",2e-04,"district-estimate","admin1",0,0,0
"MRT",2e-04,"global-estimate","admin1",0,0,0
"MRT",2e-04,"no-estimate","admin1",0,0,0
"MRT",0.001,"district-estimate","admin1",0,0,0
"MRT",0.001,"global-estimate","admin1",0,0,0
"MRT",0.001,"no-estimate","admin1",0,0,0
"MRT",1e-04,"district-estimate","admin2",0,550133.11956247,1415603.31090673
"MRT",1e-04,"global-estimate","admin2",172518.541653101,354243.868966909,838861.652837831
"MRT",1e-04,"no-estimate","admin2",550133.11956247,550133.11956247,2121218.405085
"MRT",2e-04,"district-estimate","admin2",0,354243.868966909,378111.981209754
"MRT",2e-04,"global-estimate","admin2",0,0,378111.981209754
"MRT",2e-04,"no-estimate","admin2",354243.868966909,554958.840624915,1401658.31340818
"MRT",0.001,"district-estimate","admin2",0,0,0
"MRT",0.001,"global-estimate","admin2",0,0,0
"MRT",0.001,"no-estimate","admin2",0,0,0
"MWI",1e-04,"district-estimate","admin1",0,5233447.52469136,11486285.8032381
"MWI",1e-04,"global-estimate","admin1",0,1946822.20796198,7271601.73868397
"MWI",1e-04,"no-estimate","admin1",12052682.2777426,16313489.1757917,22787687.3112629
"MWI",2e-04,"district-estimate","admin1",0,0,4786122.0135654
"MWI",2e-04,"global-estimate","admin1",0,0,0
"MWI",2e-04,"no-estimate","admin1",1917529.76489272,6176820.02092373,14304890.1491632
"MWI",0.001,"district-estimate","admin1",0,0,0
"MWI",0.001,"global-estimate","admin1",0,0,0
"MWI",0.001,"no-estimate","admin1",0,0,0
"MWI",1e-04,"district-estimate","admin2",4228589.4986862,6587145.18051314,10278485.1708781
