"ISO","threshold","confirmation_lens","admin_level","ocv_costeff_lb","ocv_costeff_median","ocv_costeff_ub"
"MLI",1e-04,"district-estimate","admin1",9531.39999222909,11665.3279720685,13345.7525968771
"MLI",1e-04,"global-estimate","admin1",9456.56210663016,13101.9863880281,20222.6102765485
"MLI",1e-04,"no-estimate","admin1",9809.26653320132,14084.6745542474,20264.5244071988
"MLI",2e-04,"district-estimate","admin1",NA,NA,NA
"MLI",2e-04,"global-estimate","admin1",3041.82187087131,6381.51195123115,43406.3484542576
"MLI",2e-04,"no-estimate","admin1",9515.84448854586,13299.6759857976,19665.2966458819
"MLI",0.001,"district-estimate","admin1",NA,NA,NA
"MLI",0.001,"global-estimate","admin1",NA,NA,NA
"MLI",0.001,"no-estimate","admin1",NA,NA,NA
"MLI",1e-04,"district-estimate","admin2",5360.8117567198,7826.12161710146,9986.65846669668
"MLI",1e-04,"global-estimate","admin2",5269.50193584961,7591.49004283897,11116.5005413692
"MLI",1e-04,"no-estimate","admin2",7634.69428717956,9835.83988471986,12697.7789970965
"MLI",2e-04,"district-estimate","admin2",3588.81805833304,5422.34771707647,6696.05445337275
"MLI",2e-04,"global-estimate","admin2",350.067993311276,4140.26501883235,-110362.099376831
"MLI",2e-04,"no-estimate","admin2",5897.19149169486,8368.70232489345,11501.3146351467
"MLI",0.001,"district-estimate","admin2",NA,NA,NA
"MLI",0.001,"global-estimate","admin2",NA,NA,NA
"MLI",0.001,"no-estimate","admin2",NA,NA,NA
"MOZ",1e-04,"district-estimate","admin1",4432.22167413424,7295.14764634971,11708.3891258424
"MOZ",1e-04,"global-estimate","admin1",4543.06819375728,6993.64561594873,12507.0220687036
"MOZ",1e-04,"no-estimate","admin1",7322.44674884247,11081.4017944576,16189.1662845859
"MOZ",2e-04,"district-estimate","admin1",3371.39554757768,4716.37084939891,6577.37119968073
"MOZ",2e-04,"global-estimate","admin1",531.060502463174,1769.87287399414,-103650.321242845
"MOZ",2e-04,"no-estimate","admin1",4863.35568504138,7832.99388094636,14141.0328676486
"MOZ",0.001,"district-estimate","admin1",NA,NA,NA
"MOZ",0.001,"global-estimate","admin1",NA,NA,NA
"MOZ",0.001,"no-estimate","admin1",NA,NA,NA
"MOZ",1e-04,"district-estimate","admin2",1171.00399547959,1990.77467810859,3556.56642615558
"MOZ",1e-04,"global-estimate","admin2",1095.01543567257,1839.86572807034,3039.05126837776
"MOZ",1e-04,"no-estimate","admin2",1470.29823204818,2653.20628257575,4313.04906205913
"MOZ",2e-04,"district-estimate","admin2",942.449908008566,1647.02843219255,2780.77430152756
"MOZ",2e-04,"global-estimate","admin2",453.161797804693,1129.66955649527,2722.77636013299
"MOZ",2e-04,"no-estimate","admin2",1130.86008965838,1982.82070264503,3648.95379666486
"MOZ",0.001,"district-estimate","admin2",341.687305555089,562.48359961166,1286.82425226329
"MOZ",0.001,"global-estimate","admin2",370.212684588988,549.91138524922,1017.19155125579
"MOZ",0.001,"no-estimate","admin2",656.621516255698,1310.53032456618,2430.55224009199
"MRT",1e-04,"district-estimate","admin1",12907.7273673979,12907.7273673979,12907.7273673979
"MRT",1e-04,"global-estimate","admin1",NA,NA,NA
"MRT",1e-04,"no-estimate","admin1",13539.4986865059,21359.5556263119,34183.504953508
"MRT",2e-04,"district-estimate","admin1",NA,NA,NA
"MRT",2e-04,"global-estimate","admin1",NA,NA,NA
"MRT",2e-04,"no-estimate","admin1",16592.7688701618,16592.7688701618,16592.7688701618
"MRT",0.001,"district-estimate","admin1",NA,NA,NA
"MRT",0.001,"global-estimate","admin1",NA,NA,NA
"MRT",0.001,"no-estimate","admin1",NA,NA,NA
"MRT",1e-04,"district-estimate","admin2",3280.66034032674,5359.2418253047,12152.3978149575
"MRT",1e-04,"global-estimate","admin2",3190.50829929407,5404.62669108441,14048.7164550137
"MRT",1e-04,"no-estimate","admin2",3331.03946632642,6107.17395868132,15914.6882501525
"MRT",2e-04,"district-estimate","admin2",3186.64213430712,4892.72520505094,6821.18570510348
