"scenario","set_name","vaccine","gavi_support","activity_type","country_code","country","year","age_first","age_last","age_range_verbatim","target","coverage","gender"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MLI","Mali",2025,1,100,"default age and gender",22568244,0.0467185642295474,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MLI","Mali",2028,1,100,"default age and gender",24599833,0.0467185642295474,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MLI","Mali",2031,1,100,"default age and gender",26760399,0.0467185642295474,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MLI","Mali",2034,1,100,"default age and gender",29038286,0.0467185642295474,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MLI","Mali",2037,1,100,"default age and gender",31415443,0.0467185642295474,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MLI","Mali",2040,1,100,"default age and gender",33874459,0.0467185642295474,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MOZ","Mozambique",2025,1,100,"default age and gender",34784100,0.057149906499413,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MOZ","Mozambique",2028,1,100,"default age and gender",37793222,0.057149906499413,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MOZ","Mozambique",2031,1,100,"default age and gender",40960216,0.057149906499413,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MOZ","Mozambique",2034,1,100,"default age and gender",44267115,0.057149906499413,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MOZ","Mozambique",2037,1,100,"default age and gender",47703825,0.057149906499413,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MOZ","Mozambique",2040,1,100,"default age and gender",51256031,0.057149906499413,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MRT","Mauritania",2025,1,100,"default age and gender",5135521,0.00937098517946,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MRT","Mauritania",2028,1,100,"default age and gender",5529990,0.00937098517946,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MRT","Mauritania",2031,1,100,"default age and gender",5937867,0.00937098517946,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MRT","Mauritania",2034,1,100,"default age and gender",6359103,0.00937098517946,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MRT","Mauritania",2037,1,100,"default age and gender",6793557,0.00937098517946,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MRT","Mauritania",2040,1,100,"default age and gender",7240917,0.00937098517946,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MWI","Malawi",2025,1,100,"default age and gender",21166264,0.0504866499500062,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MWI","Malawi",2028,1,100,"default age and gender",22911218,0.0504866499500062,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MWI","Malawi",2031,1,100,"default age and gender",24736870,0.0504866499500062,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MWI","Malawi",2034,1,100,"default age and gender",26615997,0.0504866499500062,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MWI","Malawi",2037,1,100,"default age and gender",28543821,0.0504866499500062,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MWI","Malawi",2040,1,100,"default age and gender",30512395,0.0504866499500062,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","NAM","Namibia",2025,1,100,"default age and gender",2705741,0.207286984737161,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","NAM","Namibia",2028,1,100,"default age and gender",2846717,0.207286984737161,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","NAM","Namibia",2031,1,100,"default age and gender",2988928,0.207286984737161,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","NAM","Namibia",2034,1,100,"default age and gender",3132435,0.207286984737161,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","NAM","Namibia",2037,1,100,"default age and gender",3277511,0.207286984737161,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","NAM","Namibia",2040,1,100,"default age and gender",3423643,0.207286984737161,"both"
